고유번호,구분코드,구분명,측정일자,측정수위,통신상태,위치정보
16-0007,16,강서,2022-11-07 09:24:00.0,0.1,통신양호,강서구 양천로 61길 가양9단지 911동 옆 맨홀(가양9단지911동 왼쪽입구 담장주변 가양이마트 주차장보도 앞)
16-0008,16,강서,2022-11-07 09:24:00.0,0.21,통신양호,서울특별시 강서구 계화동로 495앞도로
16-0009,16,강서,2022-11-07 09:24:00.0,0.02,통신양호,서울특별시 강서구 초원로22번지 앞 인도
16-0010,16,강서,2022-11-07 09:24:00.0,0.01,통신양호,서울특별시 강서구 양천로 14길 방화우림필유 정문앞
16-0011,16,강서,2022-11-07 09:24:00.0,0.08,통신양호,서울특별시 강서구 초원로6길 15번지 앞
16-0012,16,강서,2022-11-07 09:24:00.0,0.12,통신양호,서울특별시 강서구 개화동로 505번지 앞 도로
16-0013,16,강서,2022-11-07 09:24:00.0,0.05,통신양호,서울특별시 강서구 계화동로 27길 10번지 앞 도로
16-0014,16,강서,2022-11-07 09:24:00.0,0.21,통신양호,서울특별시 강서구 계화동로 27길 46번지 앞 도로
17-0001,17,구로,2022-11-07 09:24:00.0,0.1,통신양호,구로구 경인로20나길 17앞 맨홀(대한통운오류동출장소앞)
17-0002,17,구로,2022-11-07 09:24:00.0,0.11,통신양호,구로구 개봉로19길 87앞 맨홀(로얄파크앞)
17-0003,17,구로,2022-11-07 09:24:00.0,0.29,통신양호,구로구 개봉로19길 87월편 하수박스 천장(로얄파크 월편)
17-0004,17,구로,2022-11-07 09:24:00.0,0.16,통신양호,서울특별시 구로구 개봉동 484번지 앞 도로
17-0005,17,구로,2022-11-07 09:24:00.0,0.15,통신양호,서울특별시 구로구 개봉동 416-270번지 앞 도로
17-0006,17,구로,2022-11-07 09:24:00.0,0.14,통신양호,서울특별시 구로구 개봉동139-107번지 앞 도로
17-0007,17,구로,2022-11-07 09:24:00.0,0.26,통신양호,서울특별시 구로구 개봉동78-23번지 앞 코너 도로
17-0008,17,구로,2022-11-07 09:24:00.0,0.19,통신양호,서울특별시 구로구 개봉동 92-3 번지 앞 도로
17-0009,17,구로,2022-11-07 09:24:00.0,0.18,통신양호,서울특별시 구로구 개봉동 154-51번지 앞 도로
17-0010,17,구로,2022-11-07 09:24:00.0,0.13,통신양호,서울특별시 구로구 고척동256-7번지 새마을금고 앞 교차로
17-0011,17,구로,2022-11-07 09:24:00.0,0.1,통신양호,서울특별시 구로구 개봉동 417-17번지 앞 도로
17-0012,17,구로,2022-11-07 09:24:00.0,0.06,통신양호,서울특별시 구로구 개봉동 353-34번지 앞 도로
17-0013,17,구로,2022-11-07 09:24:00.0,0.36,통신양호,서울특별시 구로구 개봉동 416-165번지 앞 도로
18-0001,18,금천,2022-11-07 09:24:00.0,0.38,통신양호,금천구 금하로 631앞~금하로 633앞 하수박스 천장        (시흥치과앞~예인치과의원앞간 맨홀 현대시장입구)
18-0002,18,금천,2022-11-07 09:24:00.0,0.07,통신양호,금천구 금하로 617앞 하수박스 천장 (무지개전기조명앞~멀티도로시호텔옆)
18-0003,18,금천,2022-11-07 09:24:00.0,1.77,통신양호,금천구 가산디지털1로 230앞 맨홀(다우실란트산업앞 친절봉사대 건물뒤)
18-0004,18,금천,2022-11-07 09:24:00.0,0.05,통신양호,금천구 시흥대로 39옆 맨홀(성원스틸레이저옆~강남순환 고속도로 4공구 교각옆 시흥대로측 박미빗물펌프장입구)
18-0005,18,금천,2022-11-07 09:24:00.0,0.06,통신양호,서울특별시 금천구 시흥대로 18길 23(미도빌라 정문 앞)
18-0006,18,금천,2022-11-07 09:24:00.0,0.12,통신양호,서울특별시 금천구 시흥대로 53 (현대빌라 정문 앞)
18-0007,18,금천,2022-11-07 09:24:00.0,0.06,통신양호,서울특별시 금천구 시흥대로 82 (3M 카인테리어 앞)
18-0008,18,금천,2022-11-07 09:24:00.0,0.14,통신양호,서울특별시 금천구 시흥대로 96 (녹십자 약국 앞)
19-0001,19,영등포,2022-11-07 09:24:00.0,0.24,통신양호,영등포구 시흥대로173길 14 맨홀(영림초등교뒤 신대림자이101동앞 사거리) 최초설치2005 시스템구축2012
19-0002,19,영등포,2022-11-07 09:24:00.0,0.26,통신양호,영등포구 영등포로53길 22옆 맨홀(영등포동주민센터앞 사거리)
19-0003,19,영등포,2022-11-07 09:24:00.0,0.11,통신양호,영등포구 선유로55길 35앞 전용맨홀(선유파크빌앞~당산초등교 담장앞)
19-0004,19,영등포,2022-11-07 09:24:00.0,0.09,통신양호,영등포구 도림로141길21옆 하수박스 내   (영문교회옆 남성맨션101동옆)
19-0005,19,영등포,2022-11-07 09:24:00.0,0.17,통신양호,서울특별시 영등포구 신풍로 16길 16
19-0006,19,영등포,2022-11-07 09:24:00.0,0.25,통신양호,서울특별시 영등포구 신풍로 96
19-0007,19,영등포,2022-11-07 09:24:00.0,0.21,통신양호,서울특별시 영등포구 여의대방로 137
19-0008,19,영등포,2022-11-07 09:24:00.0,0.07,통신양호,서울특별시 영등포구 여의대방로 165
19-0009,19,영등포,2022-11-07 09:24:00.0,0.06,통신양호,서울특별시 영등포구 대방천로14길 18
19-0010,19,영등포,2022-11-07 09:24:00.0,0.15,통신양호,서울특별시 영등포구 신풍로 39
19-0011,19,영등포,2022-11-07 09:24:00.0,0.19,통신양호,서울특별시 영등포구 신풍로 87
19-0012,19,영등포,2022-11-07 09:24:00.0,0.17,통신양호,서울특별시 영등포구 여의대방로 145
20-0001,20,동작,2022-11-07 09:23:00.0,2.02,통신양호,동작구 동작대로7길 11앞<미니스톱(동작대로7길12) 앞>
20-0006,20,동작,2022-11-07 09:23:00.0,0.1,통신양호,서울특별시 동작구 본동 494 래미안 트윈파크 아파트 앞 보도에 위치
20-0008,20,동작,2022-11-07 09:23:00.0,0.2,통신양호,서울특별시 동작구 서달로 166 앞 도로 맨홀(고봉삼계탕 ~ 씨스페이스 편의점 사이 신호등 앞)
